Final_Rank,Feature,Mean_SHAP,Posterior_Mean,Posterior_SD,HDI_95_Lower,HDI_95_Upper,Bayesian_Stability,Gene,GeneID,PathwayID,Pathway,Source
4,EXP_ANAPC16 (119504),0.0001772662727572,0.00017698147,1.5913774e-05,0.00014631427,0.00020788485,11.121275957212433,ANAPC16,11492.0,33.0,Aberrant Regulation Of Mitotic Exit In Cancer Due To RB1 Defects R-HSA-9687136,Reactome
4,EXP_ANAPC16 (119504),0.0001772662727572,0.00017698147,1.5913774e-05,0.00014631427,0.00020788485,11.121275957212433,ANAPC16,11492.0,51.0,Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814,Reactome
4,EXP_ANAPC16 (119504),0.0001772662727572,0.00017698147,1.5913774e-05,0.00014631427,0.00020788485,11.121275957212433,ANAPC16,11492.0,133.0,Assembly Of Pre-Replicative Complex R-HSA-68867,Reactome
4,EXP_ANAPC16 (119504),0.0001772662727572,0.00017698147,1.5913774e-05,0.00014631427,0.00020788485,11.121275957212433,ANAPC16,11492.0,140.0,Autodegradation Of Cdh1 By Cdh1:APC/C R-HSA-174084,Reactome
4,EXP_ANAPC16 (119504),0.0001772662727572,0.00017698147,1.5913774e-05,0.00014631427,0.00020788485,11.121275957212433,ANAPC16,11492.0,192.0,CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017,Reactome
4,EXP_ANAPC16 (119504),0.0001772662727572,0.00017698147,1.5913774e-05,0.00014631427,0.00020788485,11.121275957212433,ANAPC16,11492.0,231.0,Cdc20:Phospho-APC/C Mediated Degradation Of Cyclin A R-HSA-174184,Reactome
4,EXP_ANAPC16 (119504),0.0001772662727572,0.00017698147,1.5913774e-05,0.00014631427,0.00020788485,11.121275957212433,ANAPC16,11492.0,232.0,Cell Cycle Checkpoints R-HSA-69620,Reactome
4,EXP_ANAPC16 (119504),0.0001772662727572,0.00017698147,1.5913774e-05,0.00014631427,0.00020788485,11.121275957212433,ANAPC16,11492.0,233.0,Cell Cycle R-HSA-1640170,Reactome
4,EXP_ANAPC16 (119504),0.0001772662727572,0.00017698147,1.5913774e-05,0.00014631427,0.00020788485,11.121275957212433,ANAPC16,11492.0,234.0,"Cell Cycle, Mitotic R-HSA-69278",Reactome
4,EXP_ANAPC16 (119504),0.0001772662727572,0.00017698147,1.5913774e-05,0.00014631427,0.00020788485,11.121275957212433,ANAPC16,11492.0,242.0,Cellular Senescence R-HSA-2559583,Reactome
4,EXP_ANAPC16 (119504),0.0001772662727572,0.00017698147,1.5913774e-05,0.00014631427,0.00020788485,11.121275957212433,ANAPC16,11492.0,248.0,Cellular Responses To Stimuli R-HSA-8953897,Reactome
4,EXP_ANAPC16 (119504),0.0001772662727572,0.00017698147,1.5913774e-05,0.00014631427,0.00020788485,11.121275957212433,ANAPC16,11492.0,249.0,Cellular Responses To Stress R-HSA-2262752,Reactome
4,EXP_ANAPC16 (119504),0.0001772662727572,0.00017698147,1.5913774e-05,0.00014631427,0.00020788485,11.121275957212433,ANAPC16,11492.0,301.0,Conversion From APC/C:Cdc20 To APC/C:Cdh1 In Late Anaphase R-HSA-176407,Reactome
4,EXP_ANAPC16 (119504),0.0001772662727572,0.00017698147,1.5913774e-05,0.00014631427,0.00020788485,11.121275957212433,ANAPC16,11492.0,337.0,DNA Replication Pre-Initiation R-HSA-69002,Reactome
4,EXP_ANAPC16 (119504),0.0001772662727572,0.00017698147,1.5913774e-05,0.00014631427,0.00020788485,11.121275957212433,ANAPC16,11492.0,338.0,DNA Replication R-HSA-69306,Reactome
4,EXP_ANAPC16 (119504),0.0001772662727572,0.00017698147,1.5913774e-05,0.00014631427,0.00020788485,11.121275957212433,ANAPC16,11492.0,401.0,Disease R-HSA-1643685,Reactome
4,EXP_ANAPC16 (119504),0.0001772662727572,0.00017698147,1.5913774e-05,0.00014631427,0.00020788485,11.121275957212433,ANAPC16,11492.0,415.0,Diseases Of Mitotic Cell Cycle R-HSA-9675126,Reactome
4,EXP_ANAPC16 (119504),0.0001772662727572,0.00017698147,1.5913774e-05,0.00014631427,0.00020788485,11.121275957212433,ANAPC16,11492.0,620.0,Gene Expression (Transcription) R-HSA-74160,Reactome
4,EXP_ANAPC16 (119504),0.0001772662727572,0.00017698147,1.5913774e-05,0.00014631427,0.00020788485,11.121275957212433,ANAPC16,11492.0,622.0,Generic Transcription Pathway R-HSA-212436,Reactome
4,EXP_ANAPC16 (119504),0.0001772662727572,0.00017698147,1.5913774e-05,0.00014631427,0.00020788485,11.121275957212433,ANAPC16,11492.0,714.0,Inactivation Of APC/C Via Direct Inhibition Of APC/C Complex R-HSA-141430,Reactome
4,EXP_ANAPC16 (119504),0.0001772662727572,0.00017698147,1.5913774e-05,0.00014631427,0.00020788485,11.121275957212433,ANAPC16,11492.0,828.0,M Phase R-HSA-68886,Reactome
4,EXP_ANAPC16 (119504),0.0001772662727572,0.00017698147,1.5913774e-05,0.00014631427,0.00020788485,11.121275957212433,ANAPC16,11492.0,912.0,Mitotic Anaphase R-HSA-68882,Reactome
4,EXP_ANAPC16 (119504),0.0001772662727572,0.00017698147,1.5913774e-05,0.00014631427,0.00020788485,11.121275957212433,ANAPC16,11492.0,915.0,Mitotic Metaphase And Anaphase R-HSA-2555396,Reactome
4,EXP_ANAPC16 (119504),0.0001772662727572,0.00017698147,1.5913774e-05,0.00014631427,0.00020788485,11.121275957212433,ANAPC16,11492.0,918.0,Mitotic Spindle Checkpoint R-HSA-69618,Reactome
4,EXP_ANAPC16 (119504),0.0001772662727572,0.00017698147,1.5913774e-05,0.00014631427,0.00020788485,11.121275957212433,ANAPC16,11492.0,1119.0,Phosphorylation Of APC/C R-HSA-176412,Reactome
4,EXP_ANAPC16 (119504),0.0001772662727572,0.00017698147,1.5913774e-05,0.00014631427,0.00020788485,11.121275957212433,ANAPC16,11492.0,1235.0,RNA Polymerase II Transcription R-HSA-73857,Reactome
4,EXP_ANAPC16 (119504),0.0001772662727572,0.00017698147,1.5913774e-05,0.00014631427,0.00020788485,11.121275957212433,ANAPC16,11492.0,1290.0,Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408,Reactome
4,EXP_ANAPC16 (119504),0.0001772662727572,0.00017698147,1.5913774e-05,0.00014631427,0.00020788485,11.121275957212433,ANAPC16,11492.0,1377.0,S Phase R-HSA-69242,Reactome
4,EXP_ANAPC16 (119504),0.0001772662727572,0.00017698147,1.5913774e-05,0.00014631427,0.00020788485,11.121275957212433,ANAPC16,11492.0,1443.0,Senescence-Associated Secretory Phenotype (SASP) R-HSA-2559582,Reactome
4,EXP_ANAPC16 (119504),0.0001772662727572,0.00017698147,1.5913774e-05,0.00014631427,0.00020788485,11.121275957212433,ANAPC16,11492.0,1452.0,Separation Of Sister Chromatids R-HSA-2467813,Reactome
4,EXP_ANAPC16 (119504),0.0001772662727572,0.00017698147,1.5913774e-05,0.00014631427,0.00020788485,11.121275957212433,ANAPC16,11492.0,1557.0,Switching Of Origins To A Post-Replicative State R-HSA-69052,Reactome
4,EXP_ANAPC16 (119504),0.0001772662727572,0.00017698147,1.5913774e-05,0.00014631427,0.00020788485,11.121275957212433,ANAPC16,11492.0,1564.0,Synthesis Of DNA R-HSA-69239,Reactome
4,EXP_ANAPC16 (119504),0.0001772662727572,0.00017698147,1.5913774e-05,0.00014631427,0.00020788485,11.121275957212433,ANAPC16,11492.0,1680.0,Transcriptional Regulation By VENTX R-HSA-8853884,Reactome
5,CRISPR_SLC2A12 (154091),0.000174336868005,0.00017435515,1.3111368e-05,0.00014971863,0.0002009464,13.298013808480702,SLC2A12,8638.0,243.0,Cellular Hexose Transport R-HSA-189200,Reactome
