Source,Pathway,Overlap,Background,Odds_Ratio,P_Value,Mean_Posterior,Genes,Adjusted_P
Reactome,"Respiratory Electron Transport, ATP Synthesis By Chemiosmotic Coupling, Heat Production By Uncoupling Proteins R-HSA-163200",1,112,8.59375,0.11040367706441413,0.000103555896,NDUFA5,0.22436876306639003
Reactome,Signaling By TGFB Family Members R-HSA-9006936,1,119,8.088235294117647,0.11691799709731099,0.00010671357,E2F4,0.22664104052709513
Reactome,Synthesis Of DNA R-HSA-69239,1,119,8.088235294117647,0.11691799709731099,0.00017698147,ANAPC16,0.22664104052709513
Reactome,DNA Replication Pre-Initiation R-HSA-69002,1,126,7.6388888888888875,0.12338856271192679,0.00017698147,ANAPC16,0.22699972469125768
Reactome,G1/S Transition R-HSA-69206,1,129,7.461240310077519,0.12614833435144976,0.00010671357,E2F4,0.22706700183260956
Reactome,Cell Cycle R-HSA-1640170,2,649,2.966101694915254,0.14342201925138515,0.00014184752,"ANAPC16, E2F4",0.23619965178370902
Reactome,Mitotic G1 Phase And G1/S Transition R-HSA-453279,1,147,6.5476190476190474,0.14254039899752466,0.00010671357,E2F4,0.23619965178370902
Reactome,DNA Replication R-HSA-69306,1,154,6.249999999999999,0.14883860556474882,0.00017698147,ANAPC16,0.23949488069763342
Reactome,Cellular Senescence R-HSA-2559583,1,163,5.904907975460122,0.15687398649211787,0.00017698147,ANAPC16,0.23949488069763342
Reactome,Citric Acid (TCA) Cycle And Respiratory Electron Transport R-HSA-1428517,1,163,5.904907975460122,0.15687398649211787,0.000103555896,NDUFA5,0.23949488069763342
Reactome,Protein Localization R-HSA-9609507,1,164,5.86890243902439,0.15776250077701248,0.000101731275,PXMP2,0.23949488069763342
Reactome,Separation Of Sister Chromatids R-HSA-2467813,1,168,5.729166666666666,0.16130798152817713,0.00017698147,ANAPC16,0.2419619722922657
Reactome,mRNA Splicing - Major Pathway R-HSA-72163,1,180,5.347222222222222,0.1718624992359249,0.00010507629,PRPF3,0.25476088122031215
Reactome,mRNA Splicing R-HSA-72172,1,188,5.119680851063829,0.17883105246924316,0.00010507629,PRPF3,0.2560535523991436
Reactome,Peptide Ligand-Binding Receptors R-HSA-375276,1,194,4.961340206185567,0.18402214720753202,0.00011121887,F2R,0.25837808981063926
Reactome,Muscle Contraction R-HSA-397014,1,195,4.935897435897436,0.18488439925345562,0.00010038799,MYL7,0.25837808981063926
Reactome,G Alpha (Q) Signaling Events R-HSA-416476,1,211,4.561611374407583,0.19856733077396496,0.00011121887,F2R,0.2673016041559299
Reactome,Mitotic Anaphase R-HSA-68882,1,229,4.203056768558952,0.21370875304958872,0.00017698147,ANAPC16,0.27868368729763465
Reactome,Mitotic Metaphase And Anaphase R-HSA-2555396,1,230,4.184782608695651,0.21454220371325844,0.00017698147,ANAPC16,0.27868368729763465
Reactome,Processing Of Capped Intron-Containing Pre-mRNA R-HSA-72203,1,241,3.9937759336099585,0.22365686539078974,0.00010507629,PRPF3,0.28755882693101537
Reactome,SLC-mediated Transmembrane Transport R-HSA-425407,1,246,3.9126016260162597,0.2277677544597412,0.00017435515,SLC2A12,0.28988623294876154
Reactome,"Platelet Activation, Signaling And Aggregation R-HSA-76002",1,253,3.804347826086956,0.2334894814480649,0.00011121887,F2R,0.2941967466245618
