Feature,MI
EXP_TRAPPC4 (51399),0.17130990099351084
EXP_BCAS1 (8537),0.17130556408489994
EXP_FBXW11 (23291),0.17130137330730655
EXP_ATIC (471),0.17129294905529768
EXP_RBM47 (54502),0.17128295162674156
EXP_RAB38 (23682),0.1712820428321189
EXP_BUD23 (114049),0.17126407573255786
EXP_RBFA (79863),0.1712552816041848
EXP_UBLCP1 (134510),0.17125242196276513
EXP_SEMA6B (10501),0.17124774063739245
EXP_BAIAP2L1 (55971),0.1712459197117795
EXP_TMEM69 (51249),0.17124505127767709
EXP_CUTC (51076),0.1712323269045566
EXP_TYMS (7298),0.17122196056911587
EXP_ACD (65057),0.17122058239026394
EXP_TATDN1 (83940),0.17121610477530247
EXP_LRRC3 (81543),0.17121110304737908
EXP_PAXBP1 (94104),0.17120358862584162
EXP_DISC1 (27185),0.17118440312961525
EXP_PIGM (93183),0.17116909894958976
EXP_RAB5B (5869),0.17115950825214288
EXP_HPCA (3208),0.1711500629216136
EXP_CCNB3 (85417),0.1711365364477775
EXP_STXBP5 (134957),0.17113298564328794
EXP_AKT1 (207),0.17113212045658166
EXP_CACTIN (58509),0.17112853049300725
EXP_CD14 (929),0.17111660311286592
EXP_SLC52A3 (113278),0.17111246449475814
EXP_DIABLO (56616),0.17111053464012205
EXP_EVPL (2125),0.171107649251808
EXP_RASEF (158158),0.17110666921731532
EXP_LRIG3 (121227),0.17110611572385448
EXP_EVA1C (59271),0.17110183789179967
EXP_ADO (84890),0.17110082152714323
EXP_WTAP (9589),0.17109547947264403
EXP_LSM4 (25804),0.17108109104976776
EXP_CCND1 (595),0.17107649781855727
EXP_LRRC40 (55631),0.1710755064441125
EXP_NDOR1 (27158),0.1710749278262007
EXP_KRT16 (3868),0.17106255041377683
EXP_GATAD2B (57459),0.17106091350904862
EXP_MED10 (84246),0.171057712438067
EXP_DCAF4 (26094),0.17104500098842568
EXP_MEX3D (399664),0.17103722515252517
EXP_NR1D2 (9975),0.17103716265240365
EXP_SOWAHC (65124),0.17103225379054
EXP_DNAAF19 (388389),0.17102608897329574
EXP_ABHD17C (58489),0.1710222369287937
EXP_SRGAP1 (57522),0.17102205589487873
EXP_SLC26A9 (115019),0.17101338605250938
EXP_FCHSD2 (9873),0.17100910136232184
EXP_PRMT9 (90826),0.1710085758349713
EXP_ATP9A (10079),0.17100427139873275
EXP_SMIM20 (389203),0.17100197384239113
EXP_DGLUCY (80017),0.1709898098251461
EXP_TNFRSF1B (7133),0.1709862424370625
EXP_SULF2 (55959),0.17098083342664605
EXP_CD34 (947),0.17097772365277297
EXP_USP40 (55230),0.17097338304647813
EXP_ILRUN (64771),0.17095979052310462
EXP_TCF20 (6942),0.1709586629898876
EXP_CRIM1 (51232),0.17095398938265305
EXP_IPO13 (9670),0.1709526817279663
EXP_LGALS8 (3964),0.17093937396876857
EXP_NAP1L4 (4676),0.17093912822379043
EXP_ZMYND15 (84225),0.17093043218204151
EXP_ZFP3 (124961),0.17092857699219532
EXP_LDAF1 (57146),0.1709265325008973
EXP_ARMH3 (79591),0.17091988174103445
EXP_RANBP3 (8498),0.17091475022462888
EXP_TMEM134 (80194),0.17091412569225195
EXP_DCUN1D2 (55208),0.17090942995668978
EXP_URGCP (55665),0.1709063784657312
EXP_KAT14 (57325),0.17090559618615586
EXP_RHOBTB1 (9886),0.17089880622336917
EXP_NSDHL (50814),0.17089679362932042
EXP_PLCE1 (51196),0.17089662265676253
EXP_UBE2L5 (171222),0.17089612883008254
EXP_BLTP3B (23074),0.170893460050749
EXP_MAP3K21 (84451),0.17089229757439828
EXP_PTPN3 (5774),0.17088659356663438
EXP_ASF1A (25842),0.17088121866137929
EXP_CDC42SE2 (56990),0.1708798160224374
EXP_PIGZ (80235),0.1708796384401765
EXP_MNT (4335),0.1708782935421791
EXP_PEAK1 (79834),0.17087390769350375
EXP_TMOD3 (29766),0.17087266137917556
EXP_CHKA (1119),0.17087046535022488
EXP_DHX9 (1660),0.1708645689544701
EXP_CCSAP (126731),0.17086195755601974
EXP_SLC18B1 (116843),0.17085676077904655
EXP_SGMS2 (166929),0.17084271182668953
EXP_PSMG2 (56984),0.17083817174691074
EXP_BYSL (705),0.1708358572771198
EXP_CYP26A1 (1592),0.17083463307525282
EXP_DNAJC5 (80331),0.17082841163451778
EXP_MECR (51102),0.17082624396267576
EXP_EFNA4 (1945),0.17082062983832902
EXP_GATA2 (2624),0.17081459404495636
EXP_KIZ (55857),0.17081109985529874
EXP_RND2 (8153),0.17080961910056125
EXP_SLC35F5 (80255),0.1708081735850051
EXP_RNF122 (79845),0.17080512920180269
EXP_ARHGEF19 (128272),0.17079755783160167
EXP_ISCA1 (81689),0.17079421166746567
EXP_EIF2B3 (8891),0.17079343877862652
EXP_SOX6 (55553),0.17076225962392133
EXP_PLEKHB1 (58473),0.17076146858919916
EXP_FUOM (282969),0.170759014701642
EXP_XXYLT1 (152002),0.17075363244903574
EXP_EYA3 (2140),0.1707522846994003
EXP_RASAL1 (8437),0.17075151812131395
