DRUG_ID,DRUG_NAME,GeneID,Gene
1219,PFI-1,7988,BRD4
1230,IOX2,6967,EGLN1
1232,I-BET-151,7988,BRD4
1232,I-BET-151,16677,BRD2
1232,I-BET-151,12317,BRD3
1241,CHIR-99021,1558,GSK3B
1241,CHIR-99021,3135,GSK3A
1248,Daporinad,3154,NAMPT
1254,GSK-J4,6438,KDM6B
1259,Talazoparib,6007,PARP2
1259,Talazoparib,8274,PARP1
1262,UNC1215,16549,L3MBTL3
1264,SGC0946,2947,DOT1L
1268,XAV939,3408,TNKS2
1359,965-D2,1441,MKNK1
1359,965-D2,16333,PIM3
1359,965-D2,7245,PIM1
1359,965-D2,2098,MKNK2
1360,993-D2,1441,MKNK1
1360,993-D2,2098,MKNK2
1362,BAY ACCi,18514,ACACA
1363,BAY AKT1,8023,AKT1
1363,BAY AKT1,4583,AKT3
1363,BAY AKT1,3010,AKT2
1364,BAY-HDAC11_1,10739,HDAC11
1365,BAY-HDAC11_2,10739,HDAC11
1367,BAY-HDAC11_4,10739,HDAC11
1371,PLX-4720,9879,BRAF
1373,Dabrafenib,9879,BRAF
1377,Afatinib,7976,ERBB2
1377,Afatinib,8658,EGFR
1382,AZD3514,12139,AR
1394,AZD6738,13310,ATR
1401,AZD5438,5273,CDK2
1402,AZD7762,9007,CHEK1
1402,AZD7762,14654,CHEK2
1403,AZD6094,3182,MET
1407,Dyrk1b_0191,3006,DYRK1B
1413,EphB4_9721,15843,EPHB4
1414,Fulvestrant,1920,ESR1
1416,AZD8931,7976,ERBB2
1416,AZD8931,915,ERBB3
1416,AZD8931,8658,EGFR
1419,FEN1_3940,12015,FEN1
1421,FGFR_0939,10276,FGFR4
1422,FGFR_3831,10276,FGFR4
1422,FGFR_3831,1383,FGFR1
1422,FGFR_3831,967,FGFR2
1422,FGFR_3831,1019,FGFR3
1425,BPTES,4350,GLS
1426,AZD7969,1558,GSK3B
1432,AZD1480,2042,JAK2
1432,AZD1480,10455,JAK1
1433,JAK1_3715,10455,JAK1
1434,JAK3_7406,3102,JAK3
1449,AZD1208,16333,PIM3
1449,AZD1208,2587,PIM2
1449,AZD1208,7245,PIM1
1451,PLK_6522,11624,PLK1
1451,PLK_6522,13124,PLK3
1451,PLK_6522,8522,PLK2
1453,RAF_9304,9879,BRAF
1453,RAF_9304,1392,ARAF
1458,PARP_9495,6007,PARP2
1458,PARP_9495,8274,PARP1
1459,PARP_0108,6007,PARP2
1459,PARP_0108,8274,PARP1
1459,PARP_0108,7359,PARP6
1460,PARP_9482,6007,PARP2
1460,PARP_9482,8274,PARP1
1463,AZD1332,8827,NTRK2
1463,AZD1332,16343,NTRK1
1463,AZD1332,7803,NTRK3
1464,TTK_3146,4036,TTK
1490,SN-38,16524,TOP1
1494,SN-38,16524,TOP1
1495,Olaparib,6007,PARP2
1495,Olaparib,8274,PARP1
1497,AZD4547,1383,FGFR1
1497,AZD4547,967,FGFR2
1497,AZD4547,1019,FGFR3
1502,Bicalutamide,12139,AR
1530,PFI-3,5810,SMARCA4
1530,PFI-3,1479,SMARCA2
1531,I-CBP112,2259,EP300
