DRUG_ID,DRUG_NAME,PathwayID,Pathway
1069,EHT-1864,2051,REGULATION OF ACTIN CYTOSKELETON
1072,Avagacestat,131,ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES R-HSA-2022090
1091,BMS-536924,695,IGF1R SIGNALING CASCADE R-HSA-2428924
1114,Cetuximab,600,GRB2 EVENTS IN EGFR SIGNALING R-HSA-179812
1128,FS106,14,APC/C-MEDIATED DEGRADATION OF CELL CYCLE PROTEINS R-HSA-174143
1133,Serdemetan,1628,TP53 REGULATES TRANSCRIPTION OF ADDITIONAL CELL CYCLE GENES WITH UNCERTAIN ROLES IN P53 PATHWAY R-HSA-6804115
1142,HG-5-113-01,18,APC/C:CDH1 MEDIATED DEGRADATION OF CDC20 AND APC/C:CDH1 TARGETS IN LATE MITOSIS/EARLY G1 R-HSA-174178
1149,TW 37,1837,APOPTOSIS
1166,QL-VIII-58,131,ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES R-HSA-2022090
1183,CRT0160829,337,DNA REPLICATION PRE-INITIATION R-HSA-69002
1192,GSK269962A,2051,REGULATION OF ACTIN CYTOSKELETON
1230,IOX2,131,ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES R-HSA-2022090
1239,YK-4-279,131,ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES R-HSA-2022090
1241,CHIR-99021,159,BETA-CATENIN INDEPENDENT WNT SIGNALING R-HSA-3858494
1243,Piperlongumine,131,ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES R-HSA-2022090
1248,Daporinad,29,ABACAVIR METABOLISM R-HSA-2161541
1261,rTRAIL,1837,APOPTOSIS
1266,ICL1100013,131,ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES R-HSA-2022090
1268,XAV939,159,BETA-CATENIN INDEPENDENT WNT SIGNALING R-HSA-3858494
1362,BAY ACCi,29,ABACAVIR METABOLISM R-HSA-2161541
1363,BAY AKT1,1837,APOPTOSIS
1368,BAY-MPS1,18,APC/C:CDH1 MEDIATED DEGRADATION OF CDC20 AND APC/C:CDH1 TARGETS IN LATE MITOSIS/EARLY G1 R-HSA-174178
1369,BAY-MPS-combo-1 (paclitaxel 5 uM),18,APC/C:CDH1 MEDIATED DEGRADATION OF CDC20 AND APC/C:CDH1 TARGETS IN LATE MITOSIS/EARLY G1 R-HSA-174178
1375,Temozolomide,337,DNA REPLICATION PRE-INITIATION R-HSA-69002
1377,Afatinib,600,GRB2 EVENTS IN EGFR SIGNALING R-HSA-179812
1378,Bleomycin (50 uM),337,DNA REPLICATION PRE-INITIATION R-HSA-69002
1386,Doxorubicin,337,DNA REPLICATION PRE-INITIATION R-HSA-69002
1392,Bleomycin (10 uM),337,DNA REPLICATION PRE-INITIATION R-HSA-69002
1393,Gemcitabine,337,DNA REPLICATION PRE-INITIATION R-HSA-69002
1401,AZD5438,14,APC/C-MEDIATED DEGRADATION OF CELL CYCLE PROTEINS R-HSA-174143
1402,AZD7762,14,APC/C-MEDIATED DEGRADATION OF CELL CYCLE PROTEINS R-HSA-174143
1409,AZD4877,18,APC/C:CDH1 MEDIATED DEGRADATION OF CDC20 AND APC/C:CDH1 TARGETS IN LATE MITOSIS/EARLY G1 R-HSA-174178
1425,BPTES,131,ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES R-HSA-2022090
1426,AZD7969,159,BETA-CATENIN INDEPENDENT WNT SIGNALING R-HSA-3858494
1427,AZD5582,131,ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES R-HSA-2022090
1428,IAP_5620,131,ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES R-HSA-2022090
1429,IAP_7638,131,ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES R-HSA-2022090
1430,IGFR_3801,695,IGF1R SIGNALING CASCADE R-HSA-2428924
1436,MCT1_6447,14,APC/C-MEDIATED DEGRADATION OF CELL CYCLE PROTEINS R-HSA-174143
1437,MCT4_1422,131,ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES R-HSA-2022090
1451,PLK_6522,14,APC/C-MEDIATED DEGRADATION OF CELL CYCLE PROTEINS R-HSA-174143
1464,TTK_3146,18,APC/C:CDH1 MEDIATED DEGRADATION OF CDC20 AND APC/C:CDH1 TARGETS IN LATE MITOSIS/EARLY G1 R-HSA-174178
1490,SN-38,337,DNA REPLICATION PRE-INITIATION R-HSA-69002
1494,SN-38,337,DNA REPLICATION PRE-INITIATION R-HSA-69002
1496,Cisplatin,337,DNA REPLICATION PRE-INITIATION R-HSA-69002
1529,Pevonedistat,131,ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES R-HSA-2022090
