Gene,GeneID
SLC66A1,562
CTNS,563
RTN4R,564
PHF23,565
CDH10,566
INPP4A,567
RAB27B,568
PSMA4,569
MYO16,570
LSG1,571
PARP3,572
TNC,573
THAP3,574
RIPOR3,575
TDP1,576
AIFM2,577
SPATA7,578
MED17,579
RETSAT,580
CAPG,581
AP2S1,582
USH2A,583
ZPBP,584
TG,585
ADAM28,586
BARX2,587
DCUN1D1,588
JADE2,589
ZIC2,590
LCP2,591
TRIT1,592
ADRB1,593
GUCA2B,594
CUL7,595
CTNNA1,596
PHKA2,597
CNTLN,598
EPHA3,599
HSPA5,600
DSG2,601
GEMIN8,602
OFD1,603
GPM6B,604
MAGEC2,605
PREX2,606
WDR37,607
YTHDC2,608
CTPS2,609
ATP6V1H,610
POLR2B,611
ATOSA,612
ARAP2,613
TPR,614
CP,615
KATNIP,616
DTNBP1,617
XK,618
ANO2,619
FERRY3,620
SCML1,621
WWC3,622
ARHGAP6,623
FAM184B,624
MAP4,625
GOPC,626
ROS1,627
USP28,628
HDAC9,629
TSPAN17,630
NOP16,631
CC2D2A,632
RRM2B,633
ZNF800,634
TNFRSF17,635
SNX29,636
LMO3,637
MRPS10,638
GUCA1A,639
RSF1,640
VPS13D,641
CELF2,642
FAM120A,643
R3HDM1,644
COL9A2,645
KITLG,646
ERCC8,647
ADAMTS6,648
H6PD,649
VAMP3,650
PER3,651
UTS2,652
TNFRSF9,653
EPN3,654
LTBP1,655
RCN1,656
ELN,657
RFC2,658
ARID1B,659
CLPTM1L,660
NEDD4L,661
FOXP3,662
PPP1R3F,663
HEXB,664
PTCD2,665
NEXMIF,666
JKAMP,667
DKK3,668
ARHGEF5,669
NFE2L3,670
MCUR1,671
LIMA1,672
LETMD1,673
SLC4A8,674
LAMC3,675
PTGER3,676
TNIP3,677
MAPK9,678
COL23A1,679
BCAR1,680
FHIP1B,681
HERPUD1,682
HOMER3,683
RAD51,684
POLQ,685
PIK3CB,686
CYBA,687
THOC3,688
HEBP2,689
MPHOSPH9,690
PLEKHA5,691
PRSS8,692
SIKE1,693
RRP12,694
FNIP2,695
MSMO1,696
TTC17,697
ALX4,698
FSTL4,699
FOXN3,700
METTL24,701
AKR7A2,702
MRTO4,703
NNAT,704
USE1,705
MCF2L2,706
NRIP2,707
LAMA3,708
AP5M1,709
ANAPC4,710
KCNQ1,711
TRAPPC3,712
THRAP3,713
PHPT1,714
ENTPD2,715
LY75,716
ARID4B,717
OPN3,718
SDCCAG8,719
PTPRN,720
HHAT,721
KIF1B,722
FOXC1,723
TBC1D22A,724
SYNE2,725
PLEKHH1,726
ATP9A,727
CBLN4,728
CHRDL2,729
FAM168A,730
RELT,731
GALC,732
NOP58,733
SZRD1,734
KCNH2,735
CUL1,736
FAM114A2,737
CYFIP2,738
TAB2,739
GINM1,740
EIF2AK2,741
USP36,742
KMT2C,743
MCOLN3,744
CCDC85A,745
PUM2,746
MRPL43,747
ITIH4,748
ITIH1,749
HPF1,750
