Pathway,Source,PathwayID
Deregulated CDK5 Triggers Neurodegenerative Pathways In Alzheimers Disease Models R-HSA-8862803,Reactome,390
Dermatan Sulfate Biosynthesis R-HSA-2022923,Reactome,391
Detoxification Of Reactive Oxygen Species R-HSA-3299685,Reactome,392
Deubiquitination R-HSA-5688426,Reactome,393
Developmental Biology R-HSA-1266738,Reactome,394
Digestion R-HSA-8935690,Reactome,395
Digestion And Absorption R-HSA-8963743,Reactome,396
Digestion Of Dietary Carbohydrate R-HSA-189085,Reactome,397
Digestion Of Dietary Lipid R-HSA-192456,Reactome,398
Dimerization Of Procaspase-8 R-HSA-69416,Reactome,399
Disassembly Of Destruction Complex And Recruitment Of AXIN To Membrane R-HSA-4641262,Reactome,400
Disease R-HSA-1643685,Reactome,401
Diseases Associated With N-glycosylation Of Proteins R-HSA-3781860,Reactome,402
Diseases Associated With O-glycosylation Of Proteins R-HSA-3906995,Reactome,403
Diseases Associated With Glycosaminoglycan Metabolism R-HSA-3560782,Reactome,404
Diseases Associated With Glycosylation Precursor Biosynthesis R-HSA-5609975,Reactome,405
Diseases Associated With Surfactant Metabolism R-HSA-5687613,Reactome,406
Diseases Associated With TLR Signaling Cascade R-HSA-5602358,Reactome,407
Diseases Associated With Visual Transduction R-HSA-2474795,Reactome,408
Diseases Of Base Excision Repair R-HSA-9605308,Reactome,409
Diseases Of DNA Repair R-HSA-9675135,Reactome,410
Diseases Of Mismatch Repair (MMR) R-HSA-5423599,Reactome,411
Diseases Of Carbohydrate Metabolism R-HSA-5663084,Reactome,412
Diseases Of Glycosylation R-HSA-3781865,Reactome,413
Diseases Of Metabolism R-HSA-5668914,Reactome,414
Diseases Of Mitotic Cell Cycle R-HSA-9675126,Reactome,415
Diseases Of Programmed Cell Death R-HSA-9645723,Reactome,416
Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202,Reactome,417
Disinhibition Of SNARE Formation R-HSA-114516,Reactome,418
Disorders Of Developmental Biology R-HSA-9675151,Reactome,419
Disorders Of Transmembrane Transporters R-HSA-5619115,Reactome,420
Displacement Of DNA Glycosylase By APEX1 R-HSA-110357,Reactome,421
Dissolution Of Fibrin Clot R-HSA-75205,Reactome,422
Dopamine Neurotransmitter Release Cycle R-HSA-212676,Reactome,423
Dopamine Receptors R-HSA-390651,Reactome,424
Downregulation Of ERBB2 Signaling R-HSA-8863795,Reactome,425
Downregulation Of ERBB2:ERBB3 Signaling R-HSA-1358803,Reactome,426
Downregulation Of ERBB4 Signaling R-HSA-1253288,Reactome,427
Downregulation Of SMAD2/3:SMAD4 Transcriptional Activity R-HSA-2173795,Reactome,428
Downregulation Of TGF-beta Receptor Signaling R-HSA-2173788,Reactome,429
Downstream TCR Signaling R-HSA-202424,Reactome,430
Downstream Signal Transduction R-HSA-186763,Reactome,431
Downstream Signaling Events Of B Cell Receptor (BCR) R-HSA-1168372,Reactome,432
Downstream Signaling Of Activated FGFR1 R-HSA-5654687,Reactome,433
Downstream Signaling Of Activated FGFR2 R-HSA-5654696,Reactome,434
Downstream Signaling Of Activated FGFR3 R-HSA-5654708,Reactome,435
Downstream Signaling Of Activated FGFR4 R-HSA-5654716,Reactome,436
Drug ADME R-HSA-9748784,Reactome,437
Drug-mediated Inhibition Of CDK4/CDK6 Activity R-HSA-9754119,Reactome,438
Dual Incision In GG-NER R-HSA-5696400,Reactome,439
Dual Incision In TC-NER R-HSA-6782135,Reactome,440
E2F Mediated Regulation Of DNA Replication R-HSA-113510,Reactome,441
E2F-enabled Inhibition Of Pre-Replication Complex Formation R-HSA-113507,Reactome,442
E3 Ubiquitin Ligases Ubiquitinate Target Proteins R-HSA-8866654,Reactome,443
ECM Proteoglycans R-HSA-3000178,Reactome,444
EGFR Transactivation By Gastrin R-HSA-2179392,Reactome,445
EGFR Downregulation R-HSA-182971,Reactome,446
EGFR Interacts With Phospholipase C-gamma R-HSA-212718,Reactome,447
EGR2 And SOX10-mediated Initiation Of Schwann Cell Myelination R-HSA-9619665,Reactome,448
EML4 And NUDC In Mitotic Spindle Formation R-HSA-9648025,Reactome,449
EPH-Ephrin Signaling R-HSA-2682334,Reactome,450
EPH-ephrin Mediated Repulsion Of Cells R-HSA-3928665,Reactome,451
EPHA-mediated Growth Cone Collapse R-HSA-3928663,Reactome,452
EPHB-mediated Forward Signaling R-HSA-3928662,Reactome,453
ER Quality Control Compartment (ERQC) R-HSA-901032,Reactome,454
ER To Golgi Anterograde Transport R-HSA-199977,Reactome,455
ER-Phagosome Pathway R-HSA-1236974,Reactome,456
ERBB2 Activates PTK6 Signaling R-HSA-8847993,Reactome,457
ERBB2 Regulates Cell Motility R-HSA-6785631,Reactome,458
ERCC6 (CSB) And EHMT2 (G9a) Positively Regulate rRNA Expression R-HSA-427389,Reactome,459
ERK/MAPK Targets R-HSA-198753,Reactome,460
ERKs Are Inactivated R-HSA-202670,Reactome,461
ESR-mediated Signaling R-HSA-8939211,Reactome,462
Early Phase Of HIV Life Cycle R-HSA-162594,Reactome,463
Early SARS-CoV-2 Infection Events R-HSA-9772572,Reactome,464
Effects Of PIP2 Hydrolysis R-HSA-114508,Reactome,465
Eicosanoid Ligand-Binding Receptors R-HSA-391903,Reactome,466
Eicosanoids R-HSA-211979,Reactome,467
Elastic Fibre Formation R-HSA-1566948,Reactome,468
Elevation Of Cytosolic Ca2+ Levels R-HSA-139853,Reactome,469
Endogenous Sterols R-HSA-211976,Reactome,470
Endosomal Sorting Complex Required For Transport (ESCRT) R-HSA-917729,Reactome,471
Endosomal/Vacuolar Pathway R-HSA-1236977,Reactome,472
Energy Dependent Regulation Of mTOR By LKB1-AMPK R-HSA-380972,Reactome,473
Entry Of Influenza Virion Into Host Cell Via Endocytosis R-HSA-168275,Reactome,474
Ephrin Signaling R-HSA-3928664,Reactome,475
Epigenetic Regulation Of Gene Expression R-HSA-212165,Reactome,476
Erythrocytes Take Up Carbon Dioxide And Release Oxygen R-HSA-1237044,Reactome,477
Erythrocytes Take Up Oxygen And Release Carbon Dioxide R-HSA-1247673,Reactome,478
Erythropoietin Activates Phosphoinositide-3-kinase (PI3K) R-HSA-9027276,Reactome,479
Erythropoietin Activates Phospholipase C Gamma (PLCG) R-HSA-9027277,Reactome,480
Erythropoietin Activates RAS R-HSA-9027284,Reactome,481
Erythropoietin Activates STAT5 R-HSA-9027283,Reactome,482
Establishment Of Sister Chromatid Cohesion R-HSA-2468052,Reactome,483
Estrogen Biosynthesis R-HSA-193144,Reactome,484
Estrogen-dependent Gene Expression R-HSA-9018519,Reactome,485
Estrogen-dependent Nuclear Events Downstream Of ESR-membrane Signaling R-HSA-9634638,Reactome,486
Estrogen-stimulated Signaling Thru PRKCZ R-HSA-9634635,Reactome,487
Ethanol Oxidation R-HSA-71384,Reactome,488
Eukaryotic Translation Elongation R-HSA-156842,Reactome,489
Eukaryotic Translation Termination R-HSA-72764,Reactome,490
Export Of Viral Ribonucleoproteins From Nucleus R-HSA-168274,Reactome,491
Expression And Translocation Of Olfactory Receptors R-HSA-9752946,Reactome,492
Extension Of Telomeres R-HSA-180786,Reactome,493
Extra-nuclear Estrogen Signaling R-HSA-9009391,Reactome,494
Extracellular Matrix Organization R-HSA-1474244,Reactome,495
Extrinsic Pathway Of Fibrin Clot Formation R-HSA-140834,Reactome,496
FBXL7 Down-Regulates AURKA During Mitotic Entry And In Early Mitosis R-HSA-8854050,Reactome,497
FBXW7 Mutants And NOTCH1 In Cancer R-HSA-2644605,Reactome,498
FCERI Mediated Ca+2 Mobilization R-HSA-2871809,Reactome,499
FCERI Mediated MAPK Activation R-HSA-2871796,Reactome,500
FCERI Mediated NF-kB Activation R-HSA-2871837,Reactome,501
FCGR Activation R-HSA-2029481,Reactome,502
FCGR3A-mediated IL10 Synthesis R-HSA-9664323,Reactome,503
FCGR3A-mediated Phagocytosis R-HSA-9664422,Reactome,504
FGFR1 Ligand Binding And Activation R-HSA-190242,Reactome,505
FGFR1 Mutant Receptor Activation R-HSA-1839124,Reactome,506
FGFR1b Ligand Binding And Activation R-HSA-190370,Reactome,507
FGFR1c Ligand Binding And Activation R-HSA-190373,Reactome,508
FGFR2 Alternative Splicing R-HSA-6803529,Reactome,509
FGFR2 Ligand Binding And Activation R-HSA-190241,Reactome,510
FGFR2 Mutant Receptor Activation R-HSA-1839126,Reactome,511
FGFR2b Ligand Binding And Activation R-HSA-190377,Reactome,512
FGFR2c Ligand Binding And Activation R-HSA-190375,Reactome,513
FGFR3 Ligand Binding And Activation R-HSA-190239,Reactome,514
FGFR3 Mutant Receptor Activation R-HSA-2033514,Reactome,515
FGFR3b Ligand Binding And Activation R-HSA-190371,Reactome,516
FGFR4 Ligand Binding And Activation R-HSA-190322,Reactome,517
FGFRL1 Modulation Of FGFR1 Signaling R-HSA-5658623,Reactome,518
FLT3 Signaling R-HSA-9607240,Reactome,519
FLT3 Signaling By CBL Mutants R-HSA-9706377,Reactome,520
FLT3 Signaling In Disease R-HSA-9682385,Reactome,521
FLT3 Signaling Thru SRC Family Kinases R-HSA-9706374,Reactome,522
FOXO-mediated Transcription R-HSA-9614085,Reactome,523
FOXO-mediated Transcription Of Cell Cycle Genes R-HSA-9617828,Reactome,524
FOXO-mediated Transcription Of Cell Death Genes R-HSA-9614657,Reactome,525
"FOXO-mediated Transcription Of Oxidative Stress, Metabolic And Neuronal Genes R-HSA-9615017",Reactome,526
FRS-mediated FGFR1 Signaling R-HSA-5654693,Reactome,527
FRS-mediated FGFR2 Signaling R-HSA-5654700,Reactome,528
FRS-mediated FGFR3 Signaling R-HSA-5654706,Reactome,529
FRS-mediated FGFR4 Signaling R-HSA-5654712,Reactome,530
Factors Involved In Megakaryocyte Development And Platelet Production R-HSA-983231,Reactome,531
Fanconi Anemia Pathway R-HSA-6783310,Reactome,532
FasL/ CD95L Signaling R-HSA-75157,Reactome,533
Fatty Acids Bound To GPR40 (FFAR1) Regulate Insulin Secretion R-HSA-434316,Reactome,534
Fatty Acid Metabolism R-HSA-8978868,Reactome,535
Fatty Acids R-HSA-211935,Reactome,536
Fatty acyl-CoA Biosynthesis R-HSA-75105,Reactome,537
Fc Epsilon Receptor (FCERI) Signaling R-HSA-2454202,Reactome,538
Fcgamma Receptor (FCGR) Dependent Phagocytosis R-HSA-2029480,Reactome,539
Fertilization R-HSA-1187000,Reactome,540
Fibronectin Matrix Formation R-HSA-1566977,Reactome,541
Ficolins Bind To Repetitive Carbohydrate Structures On Target Cell Surface R-HSA-2855086,Reactome,542
Folding Of Actin By CCT/TriC R-HSA-390450,Reactome,543
Formation Of ATP By Chemiosmotic Coupling R-HSA-163210,Reactome,544
Formation Of Fibrin Clot (Clotting Cascade) R-HSA-140877,Reactome,545
Formation Of HIV Elongation Complex In Absence Of HIV Tat R-HSA-167152,Reactome,546
Formation Of HIV-1 Elongation Complex Containing HIV-1 Tat R-HSA-167200,Reactome,547
Formation Of Incision Complex In GG-NER R-HSA-5696395,Reactome,548
Formation Of RNA Pol II Elongation Complex R-HSA-112382,Reactome,549
Formation Of Senescence-Associated Heterochromatin Foci (SAHF) R-HSA-2559584,Reactome,550
Formation Of TC-NER Pre-Incision Complex R-HSA-6781823,Reactome,551
Formation Of A Pool Of Free 40S Subunits R-HSA-72689,Reactome,552
Formation Of Annular Gap Junctions R-HSA-196025,Reactome,553
Formation Of Apoptosome R-HSA-111458,Reactome,554
Formation Of Early Elongation Complex R-HSA-113418,Reactome,555
Formation Of Editosome R-HSA-75094,Reactome,556
Formation Of beta-catenin:TCF Transactivating Complex R-HSA-201722,Reactome,557
Formation Of Cornified Envelope R-HSA-6809371,Reactome,558
"Formation Of Ternary Complex, And Subsequently, 43S Complex R-HSA-72695",Reactome,559
Formation Of Tubulin Folding Intermediates By CCT/TriC R-HSA-389960,Reactome,560
Formation Of Xylulose-5-Phosphate R-HSA-5661270,Reactome,561
Formyl Peptide Receptors Bind Formyl Peptides And Many Other Ligands R-HSA-444473,Reactome,562
Free Fatty Acid Receptors R-HSA-444209,Reactome,563
Free Fatty Acids Regulate Insulin Secretion R-HSA-400451,Reactome,564
Frs2-mediated Activation R-HSA-170968,Reactome,565
Fructose Catabolism R-HSA-70350,Reactome,566
Fructose Metabolism R-HSA-5652084,Reactome,567
G Alpha (12/13) Signaling Events R-HSA-416482,Reactome,568
G Alpha (I) Signaling Events R-HSA-418594,Reactome,569
G Alpha (Q) Signaling Events R-HSA-416476,Reactome,570
G Alpha (S) Signaling Events R-HSA-418555,Reactome,571
G Alpha (Z) Signaling Events R-HSA-418597,Reactome,572
G Beta:Gamma Signaling Thru BTK R-HSA-8964315,Reactome,573
G Beta:Gamma Signaling Thru CDC42 R-HSA-8964616,Reactome,574
G Beta:Gamma Signaling Thru PI3Kgamma R-HSA-392451,Reactome,575
G Beta:Gamma Signaling Thru PLC Beta R-HSA-418217,Reactome,576
G-protein Activation R-HSA-202040,Reactome,577
G-protein Beta:Gamma Signaling R-HSA-397795,Reactome,578
G-protein Mediated Events R-HSA-112040,Reactome,579
G0 And Early G1 R-HSA-1538133,Reactome,580
G1/S DNA Damage Checkpoints R-HSA-69615,Reactome,581
G1/S Transition R-HSA-69206,Reactome,582
G1/S-Specific Transcription R-HSA-69205,Reactome,583
G2 Phase R-HSA-68911,Reactome,584
G2/M Checkpoints R-HSA-69481,Reactome,585
G2/M DNA Damage Checkpoint R-HSA-69473,Reactome,586
G2/M DNA Replication Checkpoint R-HSA-69478,Reactome,587
G2/M Transition R-HSA-69275,Reactome,588
GAB1 Signalosome R-HSA-180292,Reactome,589
GABA Receptor Activation R-HSA-977443,Reactome,590
"GABA Synthesis, Release, Reuptake And Degradation R-HSA-888590",Reactome,591
GDP-fucose Biosynthesis R-HSA-6787639,Reactome,592
GLI Proteins Bind Promoters Of Hh Responsive Genes To Promote Transcription R-HSA-5635851,Reactome,593
GLI3 Is Processed To GLI3R By Proteasome R-HSA-5610785,Reactome,594
GP1b-IX-V Activation Signaling R-HSA-430116,Reactome,595
GPCR Downstream Signaling R-HSA-388396,Reactome,596
GPCR Ligand Binding R-HSA-500792,Reactome,597
GPER1 Signaling R-HSA-9634597,Reactome,598
GPVI-mediated Activation Cascade R-HSA-114604,Reactome,599
GRB2 Events In EGFR Signaling R-HSA-179812,Reactome,600
GRB2 Events In ERBB2 Signaling R-HSA-1963640,Reactome,601
GRB2:SOS Provides Linkage To MAPK Signaling For Integrins R-HSA-354194,Reactome,602
GRB7 Events In ERBB2 Signaling R-HSA-1306955,Reactome,603
GSK3B And BTRC:CUL1-mediated-degradation Of NFE2L2 R-HSA-9762114,Reactome,604
GTP Hydrolysis And Joining Of 60S Ribosomal Subunit R-HSA-72706,Reactome,605
Gain-of-function MRAS Complexes Activate RAF Signaling R-HSA-9726842,Reactome,606
"Gamma Carboxylation, Hypusine Formation And Arylsulfatase Activation R-HSA-163841",Reactome,607
Gamma-carboxylation Of Protein Precursors R-HSA-159740,Reactome,608
"Gamma-carboxylation, Transport, And Amino-Terminal Cleavage Of Proteins R-HSA-159854",Reactome,609
Gap Junction Assembly R-HSA-190861,Reactome,610
Gap Junction Degradation R-HSA-190873,Reactome,611
Gap Junction Trafficking R-HSA-190828,Reactome,612
Gap Junction Trafficking And Regulation R-HSA-157858,Reactome,613
Gap-filling DNA Repair Synthesis And Ligation In GG-NER R-HSA-5696397,Reactome,614
Gap-filling DNA Repair Synthesis And Ligation In TC-NER R-HSA-6782210,Reactome,615
Gastrin-CREB Signaling Pathway Via PKC And MAPK R-HSA-881907,Reactome,616
Gastrulation R-HSA-9758941,Reactome,617
Gene Silencing By RNA R-HSA-211000,Reactome,618
Gene And Protein Expression By JAK-STAT Signaling After Interleukin-12 Stimulation R-HSA-8950505,Reactome,619
Gene Expression (Transcription) R-HSA-74160,Reactome,620
Generation Of Second Messenger Molecules R-HSA-202433,Reactome,621
Generic Transcription Pathway R-HSA-212436,Reactome,622
Global Genome Nucleotide Excision Repair (GG-NER) R-HSA-5696399,Reactome,623
Glucagon Signaling In Metabolic Regulation R-HSA-163359,Reactome,624
Glucagon-like Peptide-1 (GLP1) Regulates Insulin Secretion R-HSA-381676,Reactome,625
Glucagon-type Ligand Receptors R-HSA-420092,Reactome,626
Glucocorticoid Biosynthesis R-HSA-194002,Reactome,627
Gluconeogenesis R-HSA-70263,Reactome,628
Glucose Metabolism R-HSA-70326,Reactome,629
Glucuronidation R-HSA-156588,Reactome,630
Glutamate Neurotransmitter Release Cycle R-HSA-210500,Reactome,631
Glutamate And Glutamine Metabolism R-HSA-8964539,Reactome,632
"Glutamate Binding, Activation Of AMPA Receptors And Synaptic Plasticity R-HSA-399721",Reactome,633
Glutathione Conjugation R-HSA-156590,Reactome,634
Glutathione Synthesis And Recycling R-HSA-174403,Reactome,635
Glycerophospholipid Biosynthesis R-HSA-1483206,Reactome,636
Glycerophospholipid Catabolism R-HSA-6814848,Reactome,637
Glycogen Breakdown (Glycogenolysis) R-HSA-70221,Reactome,638
Glycogen Metabolism R-HSA-8982491,Reactome,639
Glycogen Storage Diseases R-HSA-3229121,Reactome,640
Glycogen Synthesis R-HSA-3322077,Reactome,641
Glycolysis R-HSA-70171,Reactome,642
Glycoprotein Hormones R-HSA-209822,Reactome,643
Glycosaminoglycan Metabolism R-HSA-1630316,Reactome,644
Glycosphingolipid Metabolism R-HSA-1660662,Reactome,645
Glyoxylate Metabolism And Glycine Degradation R-HSA-389661,Reactome,646
Golgi Associated Vesicle Biogenesis R-HSA-432722,Reactome,647
Golgi Cisternae Pericentriolar Stack Reorganization R-HSA-162658,Reactome,648
Golgi-to-ER Retrograde Transport R-HSA-8856688,Reactome,649
Growth Hormone Receptor Signaling R-HSA-982772,Reactome,650
HATs Acetylate Histones R-HSA-3214847,Reactome,651
HCMV Early Events R-HSA-9609690,Reactome,652
HCMV Infection R-HSA-9609646,Reactome,653
HCMV Late Events R-HSA-9610379,Reactome,654
HDACs Deacetylate Histones R-HSA-3214815,Reactome,655
HDL Assembly R-HSA-8963896,Reactome,656
HDL Clearance R-HSA-8964011,Reactome,657
HDL Remodeling R-HSA-8964058,Reactome,658
HDMs Demethylate Histones R-HSA-3214842,Reactome,659
HDR Thru Homologous Recombination (HRR) R-HSA-5685942,Reactome,660
HDR Thru Homologous Recombination (HRR) Or Single Strand Annealing (SSA) R-HSA-5693567,Reactome,661
HDR Thru MMEJ (alt-NHEJ) R-HSA-5685939,Reactome,662
HDR Thru Single Strand Annealing (SSA) R-HSA-5685938,Reactome,663
HIV Infection R-HSA-162906,Reactome,664
HIV Life Cycle R-HSA-162587,Reactome,665
HIV Transcription Initiation R-HSA-167161,Reactome,666
HIV Elongation Arrest And Recovery R-HSA-167287,Reactome,667
HS-GAG Biosynthesis R-HSA-2022928,Reactome,668
HS-GAG Degradation R-HSA-2024096,Reactome,669
HSF1 Activation R-HSA-3371511,Reactome,670
HSF1-dependent Transactivation R-HSA-3371571,Reactome,671
HSP90 Chaperone Cycle For Steroid Hormone Receptors (SHR) In Presence Of Ligand R-HSA-3371497,Reactome,672
Hedgehog Off State R-HSA-5610787,Reactome,673
Hedgehog On State R-HSA-5632684,Reactome,674
Hedgehog Ligand Biogenesis R-HSA-5358346,Reactome,675
Heme Biosynthesis R-HSA-189451,Reactome,676
Heme Degradation R-HSA-189483,Reactome,677
Heme Signaling R-HSA-9707616,Reactome,678
Hemostasis R-HSA-109582,Reactome,679
Heparan Sulfate/Heparin (HS-GAG) Metabolism R-HSA-1638091,Reactome,680
Hh Mutants Abrogate Ligand Secretion R-HSA-5387390,Reactome,681
Hh Mutants Are Degraded By ERAD R-HSA-5362768,Reactome,682
Highly Calcium Permeable Nicotinic Acetylcholine Receptors R-HSA-629597,Reactome,683
Highly Calcium Permeable Postsynaptic Nicotinic Acetylcholine Receptors R-HSA-629594,Reactome,684
Highly Sodium Permeable Postsynaptic Acetylcholine Nicotinic Receptors R-HSA-629587,Reactome,685
Histidine Catabolism R-HSA-70921,Reactome,686
Homologous DNA Pairing And Strand Exchange R-HSA-5693579,Reactome,687
Homology Directed Repair R-HSA-5693538,Reactome,688
Hormone Ligand-Binding Receptors R-HSA-375281,Reactome,689
Host Interactions Of HIV Factors R-HSA-162909,Reactome,690
HuR (ELAVL1) Binds And Stabilizes mRNA R-HSA-450520,Reactome,691
Hyaluronan Metabolism R-HSA-2142845,Reactome,692
Hyaluronan Uptake And Degradation R-HSA-2160916,Reactome,693
Hydrolysis Of LPC R-HSA-1483115,Reactome,694
IGF1R Signaling Cascade R-HSA-2428924,Reactome,695
IKK Complex Recruitment Mediated By RIP1 R-HSA-937041,Reactome,696
IL-6-type Cytokine Receptor Ligand Interactions R-HSA-6788467,Reactome,697
IRAK1 Recruits IKK Complex R-HSA-937039,Reactome,698
IRAK2 Mediated Activation Of TAK1 Complex R-HSA-937042,Reactome,699
IRAK2 Mediated Activation Of TAK1 Complex Upon TLR7/8 Or 9 Stimulation R-HSA-975163,Reactome,700
IRAK4 Deficiency (TLR2/4) R-HSA-5603041,Reactome,701
IRE1alpha Activates Chaperones R-HSA-381070,Reactome,702
IRF3 Mediated Activation Of Type 1 IFN R-HSA-1606341,Reactome,703
IRF3-mediated Induction Of Type I IFN R-HSA-3270619,Reactome,704
IRS Activation R-HSA-74713,Reactome,705
IRS-mediated Signaling R-HSA-112399,Reactome,706
IRS-related Events Triggered By IGF1R R-HSA-2428928,Reactome,707
ISG15 Antiviral Mechanism R-HSA-1169408,Reactome,708
IkBA Variant Leads To EDA-ID R-HSA-5603029,Reactome,709
Immune System R-HSA-168256,Reactome,710
Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933,Reactome,711
Impaired BRCA2 Binding To PALB2 R-HSA-9709603,Reactome,712
Impaired BRCA2 Binding To RAD51 R-HSA-9709570,Reactome,713
Inactivation Of APC/C Via Direct Inhibition Of APC/C Complex R-HSA-141430,Reactome,714
Inactivation Of CDC42 And RAC1 R-HSA-428543,Reactome,715
Inactivation Of CSF3 (G-CSF) Signaling R-HSA-9705462,Reactome,716
"Inactivation, Recovery And Regulation Of Phototransduction Cascade R-HSA-2514859",Reactome,717
"Incretin Synthesis, Secretion, And Inactivation R-HSA-400508",Reactome,718
Infection With Mycobacterium Tuberculosis R-HSA-9635486,Reactome,719
Infectious Disease R-HSA-5663205,Reactome,720
Inflammasomes R-HSA-622312,Reactome,721
Influenza Infection R-HSA-168255,Reactome,722
Influenza Viral RNA Transcription And Replication R-HSA-168273,Reactome,723
Inhibition Of DNA Recombination At Telomere R-HSA-9670095,Reactome,724
Inhibition Of Signaling By Overexpressed EGFR R-HSA-5638303,Reactome,725
Inhibition Of Replication Initiation Of Damaged DNA By RB1/E2F1 R-HSA-113501,Reactome,726
Initial Triggering Of Complement R-HSA-166663,Reactome,727
Initiation Of Nuclear Envelope (NE) Reformation R-HSA-2995383,Reactome,728
InlA-mediated Entry Of Listeria Monocytogenes Into Host Cells R-HSA-8876493,Reactome,729
InlB-mediated Entry Of Listeria Monocytogenes Into Host Cell R-HSA-8875360,Reactome,730
Innate Immune System R-HSA-168249,Reactome,731
Inositol Phosphate Metabolism R-HSA-1483249,Reactome,732
Insertion Of Tail-Anchored Proteins Into Endoplasmic Reticulum Membrane R-HSA-9609523,Reactome,733
Insulin Processing R-HSA-264876,Reactome,734
Insulin Receptor Recycling R-HSA-77387,Reactome,735
Insulin Receptor Signaling Cascade R-HSA-74751,Reactome,736
Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) Bind RNA R-HSA-428359,Reactome,737
Integration Of Energy Metabolism R-HSA-163685,Reactome,738
Integration Of Provirus R-HSA-162592,Reactome,739
Integrin Cell Surface Interactions R-HSA-216083,Reactome,740
Integrin Signaling R-HSA-354192,Reactome,741
Interaction With Cumulus Cells And Zona Pellucida R-HSA-2534343,Reactome,742
Interaction Between L1 And Ankyrins R-HSA-445095,Reactome,743
Interactions Of Rev With Host Cellular Proteins R-HSA-177243,Reactome,744
Interactions Of Vpr With Host Cellular Proteins R-HSA-176033,Reactome,745
Interconversion Of Nucleotide Di- And Triphosphates R-HSA-499943,Reactome,746
Interferon Signaling R-HSA-913531,Reactome,747
Interferon Alpha/Beta Signaling R-HSA-909733,Reactome,748
Interferon Gamma Signaling R-HSA-877300,Reactome,749
Interleukin Receptor SHC Signaling R-HSA-912526,Reactome,750
Interleukin-1 Family Signaling R-HSA-446652,Reactome,751
Interleukin-1 Processing R-HSA-448706,Reactome,752
Interleukin-1 Signaling R-HSA-9020702,Reactome,753
Interleukin-10 Signaling R-HSA-6783783,Reactome,754
Interleukin-12 Family Signaling R-HSA-447115,Reactome,755
Interleukin-12 Signaling R-HSA-9020591,Reactome,756
Interleukin-15 Signaling R-HSA-8983432,Reactome,757
Interleukin-17 Signaling R-HSA-448424,Reactome,758
Interleukin-18 Signaling R-HSA-9012546,Reactome,759
Interleukin-2 Family Signaling R-HSA-451927,Reactome,760
Interleukin-2 Signaling R-HSA-9020558,Reactome,761
Interleukin-20 Family Signaling R-HSA-8854691,Reactome,762
Interleukin-21 Signaling R-HSA-9020958,Reactome,763
Interleukin-23 Signaling R-HSA-9020933,Reactome,764
Interleukin-27 Signaling R-HSA-9020956,Reactome,765
"Interleukin-3, Interleukin-5 And GM-CSF Signaling R-HSA-512988",Reactome,766
Interleukin-35 Signaling R-HSA-8984722,Reactome,767
Interleukin-36 Pathway R-HSA-9014826,Reactome,768
Interleukin-37 Signaling R-HSA-9008059,Reactome,769
Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807,Reactome,770
Interleukin-6 Family Signaling R-HSA-6783589,Reactome,771
Interleukin-6 Signaling R-HSA-1059683,Reactome,772
Interleukin-7 Signaling R-HSA-1266695,Reactome,773
Interleukin-9 Signaling R-HSA-8985947,Reactome,774
Intestinal Absorption R-HSA-8963676,Reactome,775
Intra-Golgi And Retrograde Golgi-to-ER Traffic R-HSA-6811442,Reactome,776
Intra-Golgi Traffic R-HSA-6811438,Reactome,777
Intracellular Signaling By Second Messengers R-HSA-9006925,Reactome,778
Intraflagellar Transport R-HSA-5620924,Reactome,779
Intrinsic Pathway For Apoptosis R-HSA-109606,Reactome,780
Intrinsic Pathway Of Fibrin Clot Formation R-HSA-140837,Reactome,781
Inwardly Rectifying K+ Channels R-HSA-1296065,Reactome,782
Ion Channel Transport R-HSA-983712,Reactome,783
Ion Homeostasis R-HSA-5578775,Reactome,784
Ion Transport By P-type ATPases R-HSA-936837,Reactome,785
Iron Uptake And Transport R-HSA-917937,Reactome,786
JNK (c-Jun Kinases) Phosphorylation And Activation Mediated By Activated Human TAK1 R-HSA-450321,Reactome,787
Josephin Domain DUBs R-HSA-5689877,Reactome,788
KEAP1-NFE2L2 Pathway R-HSA-9755511,Reactome,789
KSRP (KHSRP) Binds And Destabilizes mRNA R-HSA-450604,Reactome,790
Keratan Sulfate Biosynthesis R-HSA-2022854,Reactome,791
Keratan Sulfate Degradation R-HSA-2022857,Reactome,792
Keratan Sulfate/Keratin Metabolism R-HSA-1638074,Reactome,793
Keratinization R-HSA-6805567,Reactome,794
Ketone Body Metabolism R-HSA-74182,Reactome,795
Killing Mechanisms R-HSA-9664420,Reactome,796
Kinesins R-HSA-983189,Reactome,797
L13a-mediated Translational Silencing Of Ceruloplasmin Expression R-HSA-156827,Reactome,798
L1CAM Interactions R-HSA-373760,Reactome,799
LDL Clearance R-HSA-8964038,Reactome,800
LDL Remodeling R-HSA-8964041,Reactome,801
LGI-ADAM Interactions R-HSA-5682910,Reactome,802
LRR FLII-interacting Protein 1 (LRRFIP1) Activates Type I IFN Production R-HSA-3134973,Reactome,803
LTC4-CYSLTR Mediated IL4 Production R-HSA-9664535,Reactome,804
Lagging Strand Synthesis R-HSA-69186,Reactome,805
