Pathway,Source,PathwayID
CREB1 Phosphorylation Thru Activation Of CaMKII/CaMKK/CaMKIV Cascasde R-HSA-442729,Reactome,204
CREB3 Factors Activate Genes R-HSA-8874211,Reactome,205
CRMPs In Sema3A Signaling R-HSA-399956,Reactome,206
CS/DS Degradation R-HSA-2024101,Reactome,207
CTLA4 Inhibitory Signaling R-HSA-389513,Reactome,208
CTNNB1 S33 Mutants Not Phosphorylated R-HSA-5358747,Reactome,209
CYP2E1 Reactions R-HSA-211999,Reactome,210
Ca-dependent Events R-HSA-111996,Reactome,211
Ca2+ Activated K+ Channels R-HSA-1296052,Reactome,212
Ca2+ Pathway R-HSA-4086398,Reactome,213
CaM Pathway R-HSA-111997,Reactome,214
CaMK IV-mediated Phosphorylation Of CREB R-HSA-111932,Reactome,215
Calcineurin Activates NFAT R-HSA-2025928,Reactome,216
Calcitonin-like Ligand Receptors R-HSA-419812,Reactome,217
Calnexin/calreticulin Cycle R-HSA-901042,Reactome,218
Cap-dependent Translation Initiation R-HSA-72737,Reactome,219
Carboxyterminal Post-Translational Modifications Of Tubulin R-HSA-8955332,Reactome,220
Cardiac Conduction R-HSA-5576891,Reactome,221
Cargo Concentration In ER R-HSA-5694530,Reactome,222
Cargo Recognition For Clathrin-Mediated Endocytosis R-HSA-8856825,Reactome,223
Cargo Trafficking To Periciliary Membrane R-HSA-5620920,Reactome,224
Carnitine Metabolism R-HSA-200425,Reactome,225
Caspase Activation Via Death Receptors In Presence Of Ligand R-HSA-140534,Reactome,226
Caspase Activation Via Dependence Receptors In Absence Of Ligand R-HSA-418889,Reactome,227
Caspase Activation Via Extrinsic Apoptotic Signaling Pathway R-HSA-5357769,Reactome,228
Caspase-mediated Cleavage Of Cytoskeletal Proteins R-HSA-264870,Reactome,229
Cation-coupled Chloride Cotransporters R-HSA-426117,Reactome,230
Cdc20:Phospho-APC/C Mediated Degradation Of Cyclin A R-HSA-174184,Reactome,231
Cell Cycle Checkpoints R-HSA-69620,Reactome,232
Cell Cycle R-HSA-1640170,Reactome,233
"Cell Cycle, Mitotic R-HSA-69278",Reactome,234
"Cell Death Signaling Via NRAGE, NRIF And NADE R-HSA-204998",Reactome,235
Cell Junction Organization R-HSA-446728,Reactome,236
Cell Recruitment (Pro-Inflammatory Response) R-HSA-9664424,Reactome,237
Cell Surface Interactions At Vascular Wall R-HSA-202733,Reactome,238
Cell-Cell Communication R-HSA-1500931,Reactome,239
Cell-cell Junction Organization R-HSA-421270,Reactome,240
Cell-extracellular Matrix Interactions R-HSA-446353,Reactome,241
Cellular Senescence R-HSA-2559583,Reactome,242
Cellular Hexose Transport R-HSA-189200,Reactome,243
Cellular Response To Chemical Stress R-HSA-9711123,Reactome,244
Cellular Response To Heat Stress R-HSA-3371556,Reactome,245
Cellular Response To Hypoxia R-HSA-1234174,Reactome,246
Cellular Response To Starvation R-HSA-9711097,Reactome,247
Cellular Responses To Stimuli R-HSA-8953897,Reactome,248
Cellular Responses To Stress R-HSA-2262752,Reactome,249
Centrosome Maturation R-HSA-380287,Reactome,250
ChREBP Activates Metabolic Gene Expression R-HSA-163765,Reactome,251
Chaperone Mediated Autophagy R-HSA-9613829,Reactome,252
Chaperonin-mediated Protein Folding R-HSA-390466,Reactome,253
Chemokine Receptors Bind Chemokines R-HSA-380108,Reactome,254
Chk1/Chk2(Cds1) Mediated Inactivation Of Cyclin B:Cdk1 Complex R-HSA-75035,Reactome,255
Cholesterol Biosynthesis R-HSA-191273,Reactome,256
Choline Catabolism R-HSA-6798163,Reactome,257
Chondroitin Sulfate Biosynthesis R-HSA-2022870,Reactome,258
Chondroitin Sulfate/Dermatan Sulfate Metabolism R-HSA-1793185,Reactome,259
Chromatin Modifying Enzymes R-HSA-3247509,Reactome,260
Chromosome Maintenance R-HSA-73886,Reactome,261
Chylomicron Assembly R-HSA-8963888,Reactome,262
Chylomicron Clearance R-HSA-8964026,Reactome,263
Chylomicron Remodeling R-HSA-8963901,Reactome,264
Cilium Assembly R-HSA-5617833,Reactome,265
Circadian Clock R-HSA-400253,Reactome,266
Citric Acid Cycle (TCA Cycle) R-HSA-71403,Reactome,267
Class A/1 (Rhodopsin-like Receptors) R-HSA-373076,Reactome,268
Class B/2 (Secretin Family Receptors) R-HSA-373080,Reactome,269
Class C/3 (Metabotropic Glutamate/Pheromone Receptors) R-HSA-420499,Reactome,270
Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,Reactome,271
Class I Peroxisomal Membrane Protein Import R-HSA-9603798,Reactome,272
Classical Antibody-Mediated Complement Activation R-HSA-173623,Reactome,273
Clathrin-mediated Endocytosis R-HSA-8856828,Reactome,274
Cleavage Of Damaged Purine R-HSA-110331,Reactome,275
Cleavage Of Damaged Pyrimidine R-HSA-110329,Reactome,276
Cobalamin (Cbl) Metabolism R-HSA-9759218,Reactome,277
"Cobalamin (Cbl, Vitamin B12) Transport And Metabolism R-HSA-196741",Reactome,278
Coenzyme A Biosynthesis R-HSA-196783,Reactome,279
Cohesin Loading Onto Chromatin R-HSA-2470946,Reactome,280
Collagen Biosynthesis And Modifying Enzymes R-HSA-1650814,Reactome,281
Collagen Chain Trimerization R-HSA-8948216,Reactome,282
Collagen Degradation R-HSA-1442490,Reactome,283
Collagen Formation R-HSA-1474290,Reactome,284
Common Pathway Of Fibrin Clot Formation R-HSA-140875,Reactome,285
Competing Endogenous RNAs (ceRNAs) Regulate PTEN Translation R-HSA-8948700,Reactome,286
Complement Cascade R-HSA-166658,Reactome,287
Complex I Biogenesis R-HSA-6799198,Reactome,288
Condensation Of Prometaphase Chromosomes R-HSA-2514853,Reactome,289
Condensation Of Prophase Chromosomes R-HSA-2299718,Reactome,290
Conjugation Of Benzoate With Glycine R-HSA-177135,Reactome,291
Conjugation Of Salicylate With Glycine R-HSA-177128,Reactome,292
Constitutive Signaling By AKT1 E17K In Cancer R-HSA-5674400,Reactome,293
Constitutive Signaling By Aberrant PI3K In Cancer R-HSA-2219530,Reactome,294
Constitutive Signaling By EGFRvIII R-HSA-5637810,Reactome,295
Constitutive Signaling By Ligand-Responsive EGFR Cancer Variants R-HSA-1236382,Reactome,296
Constitutive Signaling By NOTCH1 HD Domain Mutants R-HSA-2691232,Reactome,297
Constitutive Signaling By NOTCH1 HD+PEST Domain Mutants R-HSA-2894862,Reactome,298
Constitutive Signaling By NOTCH1 t(7;9)(NOTCH1:M1580 K2555) Translocation Mutant R-HSA-2660826,Reactome,299
Constitutive Signaling By Overexpressed ERBB2 R-HSA-9634285,Reactome,300
Conversion From APC/C:Cdc20 To APC/C:Cdh1 In Late Anaphase R-HSA-176407,Reactome,301
Cooperation Of PDCL (PhLP1) And TRiC/CCT In G-protein Beta Folding R-HSA-6814122,Reactome,302
Cooperation Of Prefoldin And TriC/CCT In Actin And Tubulin Folding R-HSA-389958,Reactome,303
Costimulation By CD28 Family R-HSA-388841,Reactome,304
Creatine Metabolism R-HSA-71288,Reactome,305
