Pathway,Source,PathwayID,GlobalID
Antigen Activates B Cell Receptor Leading To Second Messenger Generation R-HSA-983695,Reactome,110,5049
Antigen processing-Cross Presentation R-HSA-1236975,Reactome,111,5050
Antigen Processing: Ubiquitination And Proteasome Degradation R-HSA-983168,Reactome,112,5051
Antimicrobial Peptides R-HSA-6803157,Reactome,113,5052
Antiviral Mechanism By IFN-stimulated Genes R-HSA-1169410,Reactome,114,5053
Apoptosis R-HSA-109581,Reactome,115,5054
Apoptosis Induced DNA Fragmentation R-HSA-140342,Reactome,116,5055
Apoptotic Cleavage Of Cell Adhesion Proteins R-HSA-351906,Reactome,117,5056
Apoptotic Cleavage Of Cellular Proteins R-HSA-111465,Reactome,118,5057
Apoptotic Execution Phase R-HSA-75153,Reactome,119,5058
Apoptotic Factor-Mediated Response R-HSA-111471,Reactome,120,5059
Aquaporin-mediated Transport R-HSA-445717,Reactome,121,5060
Arachidonate Production From DAG R-HSA-426048,Reactome,122,5061
Arachidonic Acid Metabolism R-HSA-2142753,Reactome,123,5062
Aryl Hydrocarbon Receptor Signaling R-HSA-8937144,Reactome,124,5063
Asparagine N-linked Glycosylation R-HSA-446203,Reactome,125,5064
Aspartate And Asparagine Metabolism R-HSA-8963693,Reactome,126,5065
Aspirin ADME R-HSA-9749641,Reactome,127,5066
Assembly Of HIV Virion R-HSA-175474,Reactome,128,5067
Assembly And Cell Surface Presentation Of NMDA Receptors R-HSA-9609736,Reactome,129,5068
Assembly Of Active LPL And LIPC Lipase Complexes R-HSA-8963889,Reactome,130,5069
Assembly Of Collagen Fibrils And Other Multimeric Structures R-HSA-2022090,Reactome,131,5070
Assembly Of ORC Complex At Origin Of Replication R-HSA-68616,Reactome,132,5071
Assembly Of Pre-Replicative Complex R-HSA-68867,Reactome,133,5072
Association Of TriC/CCT With Target Proteins During Biosynthesis R-HSA-390471,Reactome,134,5073
Asymmetric Localization Of PCP Proteins R-HSA-4608870,Reactome,135,5074
Attachment And Entry R-HSA-9678110,Reactome,137,5075
Attachment Of GPI Anchor To uPAR R-HSA-162791,Reactome,138,5076
Attenuation Phase R-HSA-3371568,Reactome,139,5077
Autodegradation Of Cdh1 By Cdh1:APC/C R-HSA-174084,Reactome,140,5078
Autodegradation Of E3 Ubiquitin Ligase COP1 R-HSA-349425,Reactome,141,5079
Autophagy R-HSA-9612973,Reactome,142,5080
Axon Guidance R-HSA-422475,Reactome,143,5081
Axonal Growth Inhibition (RHOA Activation) R-HSA-193634,Reactome,144,5082
Azathioprine ADME R-HSA-9748787,Reactome,145,5083
B-WICH Complex Positively Regulates rRNA Expression R-HSA-5250924,Reactome,146,5084
BBSome-mediated Cargo-Targeting To Cilium R-HSA-5620922,Reactome,147,5085
BH3-only Proteins Associate With And Inactivate Anti-Apoptotic BCL-2 Members R-HSA-111453,Reactome,148,5086
"BMAL1:CLOCK,NPAS2 Activates Circadian Gene Expression R-HSA-1368108",Reactome,149,5087
Base Excision Repair R-HSA-73884,Reactome,150,5088
"Base-Excision Repair, AP Site Formation R-HSA-73929",Reactome,151,5089
Basigin Interactions R-HSA-210991,Reactome,152,5090
Beta Defensins R-HSA-1461957,Reactome,153,5091
Beta Oxidation Of butanoyl-CoA To acetyl-CoA R-HSA-77352,Reactome,154,5092
Beta Oxidation Of decanoyl-CoA To octanoyl-CoA-CoA R-HSA-77346,Reactome,155,5093
Beta Oxidation Of hexanoyl-CoA To butanoyl-CoA R-HSA-77350,Reactome,156,5094
Beta Oxidation Of lauroyl-CoA To decanoyl-CoA-CoA R-HSA-77310,Reactome,157,5095
Beta Oxidation Of octanoyl-CoA To hexanoyl-CoA R-HSA-77348,Reactome,158,5096
Beta-catenin Independent WNT Signaling R-HSA-3858494,Reactome,159,5097
Beta-catenin Phosphorylation Cascade R-HSA-196299,Reactome,160,5098
Beta-oxidation Of pristanoyl-CoA R-HSA-389887,Reactome,161,5099
Beta-oxidation Of Very Long Chain Fatty Acids R-HSA-390247,Reactome,162,5100
Bicarbonate Transporters R-HSA-425381,Reactome,163,5101
Bile Acid And Bile Salt Metabolism R-HSA-194068,Reactome,164,5102
Binding And Uptake Of Ligands By Scavenger Receptors R-HSA-2173782,Reactome,165,5103
Binding And Entry Of HIV Virion R-HSA-173107,Reactome,166,5104
Binding Of TCF/LEF:CTNNB1 To Target Gene Promoters R-HSA-4411364,Reactome,167,5105
Biological Oxidations R-HSA-211859,Reactome,168,5106
Biosynthesis Of DHA-derived SPMs R-HSA-9018677,Reactome,169,5107
Biosynthesis Of E-series 18(S)-resolvins R-HSA-9018896,Reactome,170,5108
Biosynthesis Of EPA-derived SPMs R-HSA-9018679,Reactome,171,5109
Biosynthesis Of Specialized Proresolving Mediators (SPMs) R-HSA-9018678,Reactome,174,5110
Biosynthesis Of N-glycan Precursor (Dolichol LLO) And Transfer To Protein R-HSA-446193,Reactome,175,5111
Biotin Transport And Metabolism R-HSA-196780,Reactome,176,5112
Blood Group Systems Biosynthesis R-HSA-9033658,Reactome,177,5113
Branched-chain Amino Acid Catabolism R-HSA-70895,Reactome,178,5114
Budding And Maturation Of HIV Virion R-HSA-162588,Reactome,179,5115
Butyrate Response Factor 1 Binds And Destabilizes mRNA R-HSA-450385,Reactome,180,5116
Butyrophilin (BTN) Family Interactions R-HSA-8851680,Reactome,181,5117
C-type Lectin Receptors (CLRs) R-HSA-5621481,Reactome,182,5118
CASP8 Activity Is Inhibited R-HSA-5218900,Reactome,183,5119
CD163 Mediating An Anti-Inflammatory Response R-HSA-9662834,Reactome,184,5120
CD209 (DC-SIGN) Signaling R-HSA-5621575,Reactome,185,5121
CD22 Mediated BCR Regulation R-HSA-5690714,Reactome,186,5122
CD28 Co-Stimulation R-HSA-389356,Reactome,187,5123
CD28 Dependent PI3K/Akt Signaling R-HSA-389357,Reactome,188,5124
CD28 Dependent Vav1 Pathway R-HSA-389359,Reactome,189,5125
CDC42 GTPase Cycle R-HSA-9013148,Reactome,190,5126
CDC6 Association With ORC:origin Complex R-HSA-68689,Reactome,191,5127
CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017,Reactome,192,5128
CLEC7A (Dectin-1) Induces NFAT Activation R-HSA-5607763,Reactome,194,5129
CLEC7A (Dectin-1) Signaling R-HSA-5607764,Reactome,195,5130
CLEC7A/inflammasome Pathway R-HSA-5660668,Reactome,196,5131
COPI-dependent Golgi-to-ER Retrograde Traffic R-HSA-6811434,Reactome,197,5132
COPI-independent Golgi-to-ER Retrograde Traffic R-HSA-6811436,Reactome,198,5133
COPI-mediated Anterograde Transport R-HSA-6807878,Reactome,199,5134
COPII-mediated Vesicle Transport R-HSA-204005,Reactome,200,5135
CREB Phosphorylation R-HSA-199920,Reactome,201,5136
CREB1 Phosphorylation Thru NMDA Receptor-Mediated Activation Of RAS Signaling R-HSA-442742,Reactome,202,5137
CREB1 Phosphorylation Thru Activation Of Adenylate Cyclase R-HSA-442720,Reactome,203,5138
CREB1 Phosphorylation Thru Activation Of CaMKII/CaMKK/CaMKIV Cascasde R-HSA-442729,Reactome,204,5139
CREB3 Factors Activate Genes R-HSA-8874211,Reactome,205,5140
CRMPs In Sema3A Signaling R-HSA-399956,Reactome,206,5141
CS/DS Degradation R-HSA-2024101,Reactome,207,5142
CTLA4 Inhibitory Signaling R-HSA-389513,Reactome,208,5143
CTNNB1 S33 Mutants Not Phosphorylated R-HSA-5358747,Reactome,209,5144
Ca-dependent Events R-HSA-111996,Reactome,211,5145
Ca2+ Activated K+ Channels R-HSA-1296052,Reactome,212,5146
Ca2+ Pathway R-HSA-4086398,Reactome,213,5147
CaM Pathway R-HSA-111997,Reactome,214,5148
CaMK IV-mediated Phosphorylation Of CREB R-HSA-111932,Reactome,215,5149
Calcineurin Activates NFAT R-HSA-2025928,Reactome,216,5150
Calcitonin-like Ligand Receptors R-HSA-419812,Reactome,217,5151
Calnexin/calreticulin Cycle R-HSA-901042,Reactome,218,5152
Cap-dependent Translation Initiation R-HSA-72737,Reactome,219,5153
Carboxyterminal Post-Translational Modifications Of Tubulin R-HSA-8955332,Reactome,220,5154
Cardiac Conduction R-HSA-5576891,Reactome,221,5155
Cargo Concentration In ER R-HSA-5694530,Reactome,222,5156
Cargo Recognition For Clathrin-Mediated Endocytosis R-HSA-8856825,Reactome,223,5157
Cargo Trafficking To Periciliary Membrane R-HSA-5620920,Reactome,224,5158
Carnitine Metabolism R-HSA-200425,Reactome,225,5159
Caspase Activation Via Death Receptors In Presence Of Ligand R-HSA-140534,Reactome,226,5160
Caspase Activation Via Dependence Receptors In Absence Of Ligand R-HSA-418889,Reactome,227,5161
Caspase Activation Via Extrinsic Apoptotic Signaling Pathway R-HSA-5357769,Reactome,228,5162
Caspase-mediated Cleavage Of Cytoskeletal Proteins R-HSA-264870,Reactome,229,5163
Cation-coupled Chloride Cotransporters R-HSA-426117,Reactome,230,5164
Cdc20:Phospho-APC/C Mediated Degradation Of Cyclin A R-HSA-174184,Reactome,231,5165
Cell Cycle Checkpoints R-HSA-69620,Reactome,232,5166
Cell Cycle R-HSA-1640170,Reactome,233,5167
"Cell Cycle, Mitotic R-HSA-69278",Reactome,234,5168
"Cell Death Signaling Via NRAGE, NRIF And NADE R-HSA-204998",Reactome,235,5169
Cell Junction Organization R-HSA-446728,Reactome,236,5170
